	Gewas	Compost	"thee"	Koffiedik	Eierschalen	Houtas	Specifieke Toelichting op basis van jouw tuin
MST	**Mosterd**	✅	✅	✅	❌	❌	Snelle groeier die veel stikstof (thee/koffiedik) nodig heeft. Kalk is overbodig.
BON	**Bonen**	⚠️	❌	❌	✅	✅	Bonen maken hun eigen stikstof. Stikstof (thee/koffiedik) geeft alleen maar blad en geen peulen. Eierschalen en houtas zorgen voor sterke peulen.
TOM	**Tomaten**	✅	✅	✅	✅	✅	Grote eters. Calcium (eierschaal) voorkomt neusrot, kalium (houtas) zorgt voor smaak, stikstof (thee/koffie) voor de groei.
KOM	**Komkommer**	✅	✅	✅	✅	⚠️	Houdt van voeding en vocht. Mulchen met compost werkt goed. Houtas is niet per se nodig als je al compost en thee geeft.
DRU	**Druif**	⚠️	❌	❌	✅	✅	Mag **niet** te hard groeien (anders alleen blad). Vermijd thee en koffie. Houtas (kalium) is essentieel voor de trossen.
KNF	**Knoflook**	⚠️	❌	❌	✅	✅	Houdt van kalium en calcium voor stevige bollen. Te veel stikstof (thee/koffie) maakt de bollen zacht en slecht bewaarbaar.
ZB1	**Zonnebloem**	✅	✅	✅	❌	✅	Zware groeier. Houtas is perfect voor een stevige stengel en een zware kop vol pitten.
LZ1	**Lijnzaad (zaad)**	⚠️	❌	❌	❌	✅	**Pas op:** Lijnzaad (vlas) houdt van schrale grond. Te veel voeding (thee/koffie) zorgt voor 'legering' (omvallen door zwakke stengels). Alleen wat houtas voor de zaadvorming.
	**Kruidentuin**	✅	⚠️	⚠️	⚠️	⚠️	*Zie de toelichting onder de tabel voor hoe je dit selectief toepast.*
AN1	**Andijvie**	✅	✅	✅	✅	❌	Bladgewas, dus veel stikstof nodig. Calcium (eierschaal) voorkomt randjes aan het blad (rand).
WK1	**Witte kool**	✅	✅	✅	✅	✅	Kool is een zware groeier. Calcium (eierschalen/houtas) is hier juist wél heel belangrijk om knolvoet te helpen voorkomen.
AAP	**Aardappel (Klei)**	✅	✅	✅	❌	❌	**Let op:** Klei + neutrale pH betekent: **geen** houtas of eierschalen! Kalk verhoogt de pH, wat direct *schurft* (ruwe vlekken op de schil) veroorzaakt. Gebruik thee en koffie; dit werkt licht verzurend wat aardappelen juist nodig hebben.
BB1	**Blauwe bessen**	✅	✅	✅	❌	❌	Blauwe bessen zijn zuurminnend. Op klei is de pH lastig laag te houden. Geef royaal koffiedik en onkruidthee om de grond zuur te houden. Kalk (as/eierschaal) is dodelijk voor hun opname van voeding.
FRM	**Frambozen**	✅	✅	✅	❌	✅	Frambozen zijn minder streng dan blauwe bessen. Ze houden van compost, maar hebben ook baat bij wat kalium (houtas) voor de vruchtzetting.
APP	**Appels & Peren**	✅	✅	❌	✅	✅	Fruitbomen houden niet van een zure toplaag (koffiedik). Calcium (eierschalen) voorkomt *stip* in de appels, houtas zorgt voor een goede oogst.
ABY	**Aardbeien**	✅	❌	❌	✅	✅	Staan onder de bomen, dus krijgen al wat bladval (compost). Geef **geen** stikstof (thee/koffie), anders krijg je een overdaad aan blad en weinig vruchten. Houtas en eierschalen maken ze juist zoeter en steviger.