Code	Naam NL	Zaai Binnen	Bi tm	Zaai Buiten	bu tm	Oogst vanaf	oogst tm	Beschrijving 		link				
														
AB1	Aardbei							stek						
AN1	Andijvie Winter	8	9	6	7	9	3							
AN3	Krul Andijvie													
Apl	Appelbomen							Malus domestica topaz;  Snoeien: in de winter of rond 1 juli. Takken bovenin de boom groeien snel, dus vooral daar snoeien. Zorg voor voldoende licht in de basis. Buig vruchtdragende takken horizontaal. Bemesting: in de herfst een rijke gift van een organische meststof. Bij rijke vruchtdracht in de zomer nog een keer. Voeg matig kalk toe voor zoetere vruchten. Hoog resistent tegen schurft en meeldauw.						
BB1	Blauwe Bes							stek						
BK1	Boerenkool			4	8	12	3	eind april tot eind juli in zaaibed  ca 6weken later uitzetten op volle grond, oogsten na nachtvorst 						
bl1	lotus bloem													
bl2	eetbaar bloem 													
bl3	bloem onbekend 													
bl4	paarse bloeme													
COU	Courgettes	4	5,5	5,5	6	5	10	Diamant courgette						
D1	Druif Joniter							stek						
KOR	Koriander(Blad)			4	6	7	8	Bladkoriander April tot juni buiten op regeltjes; niet te dicht zaaien, anders iets uitdunnen! Gebruik: vers blad voor salades en oosterse gerechten; de zaden bij paling, brood, lamsvlees, pasteien en kerstgebak.	CORIANDRUM SATIVUM	https://richardcloud.mooo.com/index.php/apps/memories/a/PxtaWVQ0fHzI1WcuNZdCUxpsl5F8kBx8				
lijn	Lijnzaad													
MST	Mostert	4												
ORG	Origano	3	4	3	4			Oregano is mediterraan: volle zon, in vrij droge grond. zeer geschikt voor in een pot of bak,  De planten worden uiteindelijk zo’n 30 tot 60 centimeter hoog, (niet vaste, natte kleigrond.  (		https://groei.nl/moestuin/kruiden/hoe-zaai-ik-oregano				
pe1	Peterselie krul	3	9	3	9	4	10							
Pet	Peterselie	1	12	5	6	1	12							
POM	Pompoen	4	5	5	6	9	10							
PR1	Prei	3	5	3		6		winterprei vorstresistentie. Oogstbaar tot einde winter. Produceert een ca. 25 cm lange, donkergroene prei. na oogst lang bewaarbaar. Bij voorkeur zaaien onder glas of buiten op zaaibed tot half juni. Dun zaaien en als de planten op potlooddikte zijn uitplanten in een plantgat van 18 cm diep. De plant met de wortels op de bodem van het plantgat laten zakken en een beetje water geven. Het plantgat vult zichzelf als de plant gaat groeien. 		https://www.gardenseeds.nl/product/prei-blauwgroene-winter-farinto-pillenzaad/				
Ruc	Rucola													
Salie														
SD1	Seducum							bloemstek						
SL1	KRULSLA	2	3	3	8	5	8	Februari-maart op zaaibed onder glas, of vanaf half ma augustus in de vollegrond in regels. Door de open structuur en g is Lollo Bionda minder aantrekkelijk voor slakken dan de kropsla ra		https://richardcloud.mooo.com/index.php/apps/memories/a/9X6XWIiw6IJseStoYFwjf0G6pdwIDNSf				
SL2	BLAD SLA			3	8	5	9	direct op volle grond		https://www.howtogrow.nl/nl/leavelettuceseeds				
SL3	IJSBERGSLA	1	3	4	7	6	10	Zaaien Zaai ijsbergsla in het voorjaar, (bij voorkeur tussen maart en juni) of in het late zomerseizoen voor een herfstoogst. IJsbergsla gedijt goed in vruchtbare, goed doorlatende grond met een goede drainage. Zaai de zaden ondiep, ongeveer 0,5 cm diep, in rijen of verspreid over de grond.		https://www.howtogrow.nl/nl/iceberglettuceseeds				
SL4	Rucola sla													
SL5	Veldsla	4	9	4	9	7	12	Veldsla Groene Volhart  Voorjaars-/zomerteelt, in de vollegrond zaaien in regels of breedwerpig.						
SL6	Veldsla	9	12	7	9	12	3	VELDSLA, Valerianella locusta weinig ruimte nodig heeft;  een zachte winter of onder glas gedurende de winter kan dan ieder moment worden geoogst. Kan zeer gezaait worden voor 'broeivet, een smakelijke rauwkost groente. Teeltwijze: Zaaien buiten in juli tot eind september. Er kan op regels  breedwerpig worden gezaaid. Oogsten wanneer de bladeren circa 10 cm zijn in maanden december tot maart. Zaaiafstand: 10 x 15 cm. In de maanden septen tot december kan onder glas gezaaid worden.						
sl7	Kropsla	2	7	3	7	6	9							
SP1	Spinazie	1		3				Spinacia oleracea Resistoflay Resistoflay is een rondzadig ras dat resistent is tegen twee meeldauw. Het groeit snel niet geschikt gedurende droog zomerweer. verlangt een voedzame en vochtige grond. Teeltwijze: Glasteelt: zaaien vanaf half januari tot half maart en in september. Vollegrondsteelt: zaaien vanaf maart tot circa half mei en van augustus tot half september. Er kan op regels of breedwerpig worden gezaaid. Het zaaisel goed vochtig houden.	Spinacia Oleracea Resistoflay	https://order.verberghe.nl/groentezaden/16838-spinazie-spinacia-oleracea-resistoflay-150-gr-seeds-501216.html				TRUE
TYM	Tijm 	3	5	5	7	7	9			https://richardcloud.mooo.com/index.php/apps/memories/a/HsjloIWeAMharmim1EBLAAVZRMA30IJd				
UI1	UI	3	4	3	4	9	10	na 6 weken uitdunnen, in volle grond		https://richardcloud.mooo.com/index.php/apps/memories/a/a8gq2IANvdZ15qrsDn85K5fuKRY81PuF				
WK1	Witte Kool (bewaar)			3	4	11	12	Zaaien:maart-april, direct in de vollegrond. In juni uitplanten op onderlinge afstanden van 70 x 60 cm. grond voldoende vochtig blijft. Niet te veel mesten.						